Label,Notation,Parent Notation,Sort Priority
Non central heating,non-central-heating,,
Central heating,central-heating,,
Gas,gas,,
Oil,oil,,
Solid fuel or electric or dual fuel or other,solid-fuel-electric-dual-fuel-other,,
All dwellings,all-dwellings,,
Owner occupied,owner-occupied,,
Social housing,social-housing,,
Private rented and other,private-rented-other-including-tied,,
Bungalow,bungalow,,
Terraced,terraced,,
Semi - detached,semi-detached,,
Detached,detached,,
Flat or apartment,flat-apartment,,
Insulation measures,insulation-measures,,
Heating measures,heating-measures,,
Private rented,private-rented,,
All sectors,all-sectors,,
Total approvals issued,total-approvals-issued,,
Works completed,works-completed,,
Total payments authorised,total-payments-authorised,,
Annual spend,annual-spend,,
Homes improved,homes-improved,,
Owner occupied-Insulation measures,owner-occupied-insulation-measures,,
Owner occupied-Heating measures,owner-occupied-heating-measures,,
Private rented-Insulation measures,private-rented-insulation-measures,,
Private rented-Heating measures,private-rented-heating-measures,,
